month,scenario,total_rbp_eib,total_qap_eib,cc_qap_eib,verified_qap_eib,cc_reward_per_eib_day,verified_reward_per_eib_day,cc_pledge_per_sector,new_cc_pledge,reward_ratio_cc_vs_current,total_qap_share_cc,total_qap_share_verified,effective_multiplier
17,Looking Forward (no churn),1.9363633333333334,3.5443333333333333,1.7577,1.7866333333333335,74485.09357660115,744850.9357660115,0.42193792670611735,4.219379267061174,1.6591836734693879,0.4959183673469388,0.5040816326530613,10
18,Looking Forward (no churn),1.92262,3.4069000000000003,1.7577,1.6492,77489.80011153834,774898.0011153833,0.4378122088904352,4.378122088904352,1.7261146496815283,0.5159235668789809,0.48407643312101906,10
19,Looking Forward (no churn),1.9088766666666668,3.269466666666667,1.7577,1.511766666666667,80747.11471799681,807471.1471799681,0.45502105462122217,4.550210546212221,1.7986725663716812,0.5376106194690264,0.46238938053097345,10
20,Looking Forward (no churn),1.8951333333333333,3.1320333333333332,1.7577,1.3743333333333334,84290.29065250476,842902.9065250476,0.4737401454738797,4.737401454738797,1.877598152424942,0.561200923787529,0.43879907621247116,10
21,Looking Forward (no churn),1.8813900000000001,2.9946,1.7577,1.2369000000000003,88158.68563414145,881586.8563414145,0.49417741374779556,4.941774137477956,1.9637681159420288,0.5869565217391304,0.4130434782608697,10
22,Looking Forward (no churn),1.8676466666666667,2.857166666666667,1.7577,1.0994666666666668,92399.2300064166,923992.3000641661,0.5165807989695818,5.165807989695818,2.0582278481012657,0.6151898734177215,0.3848101265822785,10
23,Looking Forward (no churn),1.8539033333333332,2.719733333333333,1.7577,0.9620333333333331,97068.34003333662,970683.4003333661,0.5412483561020807,5.412483561020807,2.162234042553192,0.6462765957446809,0.35372340425531906,10
24,Looking Forward (no churn),1.84016,2.5823,1.7577,0.8245999999999998,102234.44216396236,1022344.4216396236,0.5685415915848173,5.685415915848172,2.277310924369748,0.680672268907563,0.3193277310924369,10
25,Looking Forward (no churn),1.8264166666666668,2.4448666666666665,1.7577,0.6871666666666665,107981.34867613777,1079813.4867613777,0.5989032973289268,5.989032973289269,2.405325443786982,0.7189349112426036,0.2810650887573964,10
26,Looking Forward (no churn),1.8126733333333334,2.307433333333333,1.7577,0.5497333333333332,114412.83966311776,1144128.3966311775,0.6328817579892625,6.328817579892624,2.54858934169279,0.761755485893417,0.23824451410658304,10
27,Looking Forward (no churn),1.79893,2.17,1.7577,0.4122999999999999,121658.9861751152,1216589.861751152,0.6711641569999072,6.711641569999073,2.71,0.81,0.18999999999999995,10
28,Looking Forward (no churn),1.7851866666666667,2.032566666666667,1.7577,0.2748666666666666,129885.03862111943,1298850.3862111943,0.7146235352361908,7.1462353523619075,2.8932384341637007,0.8647686832740213,0.1352313167259786,10
29,Looking Forward (no churn),1.7714433333333335,1.8951333333333333,1.7577,0.1374333333333333,139304.18264326168,1393041.826432617,0.76438618207163,7.643861820716301,3.1030534351145036,0.9274809160305344,0.07251908396946563,10
30,Looking Forward (no churn),1.7577,1.7577,1.7577,0.0,150196.27922853729,1501962.792285373,0.8219306419924469,8.21930641992447,3.3456790123456788,1.0,0.0,10
